item_name,Alcohol,Calcium,Calories,Cholesterol,Dietary Fiber,Iron,Protein,Saturated Fat,Sodium,Sugars,Total Carbohydrate,Total Fat,Trans Fat,Vitamin A,Vitamin C,Brand Name,Meal Type,Source URL,Potassium,Caffeine,Monounsaturated Fat,Polyunsaturated Fat,Omega- Fatty Acids,Alcohol_values,Alcohol_units,Calcium_values,Calcium_units,Cholesterol_values,Cholesterol_units,Dietary Fiber_values,Dietary Fiber_units,Iron_values,Iron_units,Protein_values,Protein_units,Saturated Fat_values,Saturated Fat_units,Sodium_values,Sodium_units,Sugars_values,Sugars_units,Total Carbohydrate_values,Total Carbohydrate_units,Total Fat_values,Total Fat_units,Vitamin A_values,Vitamin A_units,Vitamin C_values,Vitamin C_units,Potassium_values,Potassium_units,Trans Fat_values,Trans Fat_units,Monounsaturated Fat_values,Monounsaturated Fat_units,Polyunsaturated Fat_values,Polyunsaturated Fat_units,Caffeine_values,Caffeine_units,Omega- Fatty Acids_values,Omega- Fatty Acids_units,Unnamed: 0,protein_check,carb_check,fat_check,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,fat_indicator,carbs_indicator,protein_indicator,indicator_sum
Hostess Mix,0 g,,23,0 mg,,,0 g,0 g,5 mg,4.3 g,5.7 g,0 g,0 g,,,Food Lion,Candy,https://www.calorieking.com/us/en/foods/f/calories-in-candy-hostess-mix/ncQTXN3nTdmZxXQorM4yeA,,,,,,0.0,g,,,0.0,mg,,,,,0.0,g,0.0,g,5.0,mg,4.3,g,5.7,g,0.0,g,,,,,,,0.0,g,,,,,,,,,,0,0,0,22.8,0.0,0.0,22.8,0.0,1.0,0.0,0,0,0,0
"Crackers, Cream Cheese And Chive",0 g,60 mg,200,0 mg,1 g,1 mg,3 g,3 g,280 mg,5 g,24 g,10 g,0 g,0 mg,1 mg,Food Lion,Crackers,https://www.calorieking.com/us/en/foods/f/calories-in-crackers-crackers-cream-cheese-and-chive/DqZcgPH7Qwq6xbkF2rFqag,,,,,,0.0,g,60.0,mg,0.0,mg,1.0,g,1.0,mg,3.0,g,3.0,g,280.0,mg,5.0,g,24.0,g,10.0,g,0.0,mg,1.0,mg,,,0.0,g,,,,,,,,,,0,0,0,96.0,12.0,90.0,198.0,0.45454545454545453,0.48484848484848486,0.06060606060606061,0,0,0,0
Fudge Covered Graham Cookies,0 g,0 mg,47,0 mg,0.3 g,1 mg,0.3 g,1.5 g,27 mg,3 g,6.3 g,2 g,0 g,0 mg,0 mg,Food Lion,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-fudge-covered-graham-cookies/ZJjg1ueITV-xkzt__LoKdg,,,,,,0.0,g,0.0,mg,0.0,mg,0.3,g,1.0,mg,0.3,g,1.5,g,27.0,mg,3.0,g,6.3,g,2.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,25.2,1.2,18.0,44.4,0.40540540540540543,0.5675675675675675,0.02702702702702703,0,1,0,1
"Lower Sugar Instant Oatmeal, Apple & Cinnamon",0 g,100 mg,110,0 mg,3 g,4 mg,3 g,0 g,125 mg,6 g,23 g,1.5 g,0 g,1000 mg,0 mg,Food Lion,"Breakfast Cereals, To Be Cooked",https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-to-be-cooked-lower-sugar-instant-oatmeal-apple-cinnamon/nJs06USSTxq7iNQvp9qz7g,115 mg,,,,,0.0,g,100.0,mg,0.0,mg,3.0,g,4.0,mg,3.0,g,0.0,g,125.0,mg,6.0,g,23.0,g,1.5,g,1000.0,mg,0.0,mg,115.0,mg,0.0,g,,,,,,,,,,0,0,0,92.0,12.0,13.5,117.5,0.1148936170212766,0.7829787234042553,0.10212765957446808,0,0,1,1
Mini Marshmallows,0 g,,100,,,,1 g,0 g,15 mg,16 g,24 g,0 g,0 g,,,Food Lion,Candy,https://www.calorieking.com/us/en/foods/f/calories-in-candy-mini-marshmallows/87d0TCvsTnWkpRxDS4NsPg,,,,,,0.0,g,,,,,,,,,1.0,g,0.0,g,15.0,mg,16.0,g,24.0,g,0.0,g,,,,,,,0.0,g,,,,,,,,,,0,0,0,96.0,4.0,0.0,100.0,0.0,0.96,0.04,0,0,0,0
Sliced Bacon,0 g,,45,5 mg,0 g,,2 g,1.3 g,120 mg,0 g,0 g,3.5 g,0 g,,,Food Lion,Deli & Luncheon Meat,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-sliced-bacon/-I7v8q3uSpie-UYlB-cnBA,,,,,,0.0,g,,,5.0,mg,0.0,g,,,2.0,g,1.3,g,120.0,mg,0.0,g,0.0,g,3.5,g,,,,,,,0.0,g,,,,,,,,,,0,0,0,0.0,8.0,31.5,39.5,0.7974683544303798,0.0,0.20253164556962025,0,0,0,0
"Sweet & Crispy Graham Crackers, Honey, Reduced Fat",0 g,75 mg,70,0 mg,1 g,1 mg,1 g,0 g,90 mg,4 g,14 g,1 g,0 g,0 mg,0 mg,Food Lion,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-sweet-crispy-graham-crackers-honey-reduced-fat/_XBz_dV8TwWpFt4mQkvb6g,30 mg,,,,,0.0,g,75.0,mg,0.0,mg,1.0,g,1.0,mg,1.0,g,0.0,g,90.0,mg,4.0,g,14.0,g,1.0,g,0.0,mg,0.0,mg,30.0,mg,0.0,g,,,,,,,,,,0,0,0,56.0,4.0,9.0,69.0,0.13043478260869565,0.8115942028985508,0.057971014492753624,0,0,0,0
"Dry Roasted Peanuts, Honey Roasted",0 g,0 mg,160,0 mg,2 g,1 mg,6 g,1.5 g,80 mg,4 g,8 g,12 g,0 g,0 mg,0 mg,Food Lion,Nut/Trail Mix,https://www.calorieking.com/us/en/foods/f/calories-in-nuttrail-mix-dry-roasted-peanuts-honey-roasted/ocFAzPk_SPOalqV1VvhOZw,160 mg,,,,,0.0,g,0.0,mg,0.0,mg,2.0,g,1.0,mg,6.0,g,1.5,g,80.0,mg,4.0,g,8.0,g,12.0,g,0.0,mg,0.0,mg,160.0,mg,0.0,g,,,,,,,,,,0,0,0,32.0,24.0,108.0,164.0,0.6585365853658537,0.1951219512195122,0.14634146341463414,0,0,1,1
"Crispy Thin Crust Pizza, Margherita",0 g,600 mg,440,60 mg,1 g,1 mg,21 g,12 g,700 mg,1 g,36 g,24 g,0.5 g,750 mg,5 mg,Food Lion,Frozen Pizzas,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-crispy-thin-crust-pizza-margherita/YywW1NK8Rz21aTTUdEJ1Vg,,,,,,0.0,g,600.0,mg,60.0,mg,1.0,g,1.0,mg,21.0,g,12.0,g,700.0,mg,1.0,g,36.0,g,24.0,g,750.0,mg,5.0,mg,,,0.5,g,,,,,,,,,,0,0,0,144.0,84.0,216.0,444.0,0.4864864864864865,0.32432432432432434,0.1891891891891892,0,0,1,1
"Fudge Drizzled Cookies, Caramel Coconut",0 g,10 mg,65,0 mg,0.5 g,1 mg,0.5 g,2.5 g,30 mg,5.5 g,9 g,3 g,0 g,0 mg,0 mg,Food Lion,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-fudge-drizzled-cookies-caramel-coconut/hOQR2xG3QBqxW9YQiFGwKg,23 mg,,,,,0.0,g,10.0,mg,0.0,mg,0.5,g,1.0,mg,0.5,g,2.5,g,30.0,mg,5.5,g,9.0,g,3.0,g,0.0,mg,0.0,mg,23.0,mg,0.0,g,,,,,,,,,,0,0,0,36.0,2.0,27.0,65.0,0.4153846153846154,0.5538461538461539,0.03076923076923077,0,1,0,1
Hard & Soft Taco Dinner Kit,0 g,60 mg,160,0 mg,3 g,1 mg,4 g,1.5 g,780 mg,2 g,26 g,5 g,0 g,500 mg,9 mg,Food Lion,Packaged Meals,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-hard-soft-taco-dinner-kit/9je7uugaQyG_KDNfobYOfA,,,,,,0.0,g,60.0,mg,0.0,mg,3.0,g,1.0,mg,4.0,g,1.5,g,780.0,mg,2.0,g,26.0,g,5.0,g,500.0,mg,9.0,mg,,,0.0,g,,,,,,,,,,0,0,0,104.0,16.0,45.0,165.0,0.2727272727272727,0.6303030303030303,0.09696969696969697,1,0,0,1
French Fried Potatoes,0 g,0 mg,160,0 mg,2 g,1 mg,2 g,1 g,370 mg,0 g,21 g,8 g,0 g,0 mg,4 mg,Food Lion,Frozen Vegetables,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-vegetables-french-fried-potatoes/U81zZg5DT3KXO576IGHiEQ,200 mg,,,,,0.0,g,0.0,mg,0.0,mg,2.0,g,1.0,mg,2.0,g,1.0,g,370.0,mg,0.0,g,21.0,g,8.0,g,0.0,mg,4.0,mg,200.0,mg,0.0,g,,,,,,,,,,0,0,0,84.0,8.0,72.0,164.0,0.43902439024390244,0.5121951219512195,0.04878048780487805,0,1,0,1
Whole Segments Mandarin Oranges In Light Syrup,0 g,0 mg,160,0 mg,0 g,0 mg,0 g,0 g,20 mg,34 g,38 g,0 g,0 g,600 mg,18 mg,Food Lion,Canned or Bottled Fruits,https://www.calorieking.com/us/en/foods/f/calories-in-canned-or-bottled-fruits-whole-segments-mandarin-oranges-in-light-syrup/PK03Fi34SAuPbKSFSmy5Cw,,,,,,0.0,g,0.0,mg,0.0,mg,0.0,g,0.0,mg,0.0,g,0.0,g,20.0,mg,34.0,g,38.0,g,0.0,g,600.0,mg,18.0,mg,,,0.0,g,,,,,,,,,,0,0,0,152.0,0.0,0.0,152.0,0.0,1.0,0.0,0,0,0,0
Restaurant Style French Fried Potatoes,0 g,0 mg,130,0 mg,2 g,1 mg,2 g,0 g,30 mg,0 g,20 g,3 g,0 g,0 mg,6 mg,Food Lion,Frozen Vegetables,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-vegetables-restaurant-style-french-fried-potatoes/woutf090T_yet9ltnuIGdw,310 mg,,,,,0.0,g,0.0,mg,0.0,mg,2.0,g,1.0,mg,2.0,g,0.0,g,30.0,mg,0.0,g,20.0,g,3.0,g,0.0,mg,6.0,mg,310.0,mg,0.0,g,,,,,,,,,,0,0,0,80.0,8.0,27.0,115.0,0.23478260869565218,0.6956521739130435,0.06956521739130435,0,0,0,0
"Chicken Noodle Ready to Serve Soup, Light, canned",0 g,20 mg,70,20 mg,3 g,1 mg,6 g,0 g,680 mg,1 g,8 g,1.5 g,0 g,2000 mg,0 mg,Food Lion,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chicken-noodle-ready-to-serve-soup-light-canned/ANgIz9rbR22l57FfUwx-ng,440 mg,,,,,0.0,g,20.0,mg,20.0,mg,3.0,g,1.0,mg,6.0,g,0.0,g,680.0,mg,1.0,g,8.0,g,1.5,g,2000.0,mg,0.0,mg,440.0,mg,0.0,g,,,,,,,,,,0,0,0,32.0,24.0,13.5,69.5,0.19424460431654678,0.460431654676259,0.34532374100719426,0,0,0,0
Oatmeal Cremes Wrapped Cookies,0 g,0 mg,170,0 mg,1 g,1 mg,1 g,3.5 g,170 mg,11 g,24 g,7 g,0 g,0 mg,0 mg,Food Lion,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-oatmeal-cremes-wrapped-cookies/go0YeEjMTUeuzqdfMhP7nA,,,,,,0.0,g,0.0,mg,0.0,mg,1.0,g,1.0,mg,1.0,g,3.5,g,170.0,mg,11.0,g,24.0,g,7.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,96.0,4.0,63.0,163.0,0.38650306748466257,0.588957055214724,0.024539877300613498,0,1,0,1
Lotsa' Noodles Condensed Soup,0 g,0 mg,90,20 mg,1 g,1 mg,3 g,0.5 g,480 mg,0 g,14 g,2 g,0 g,750 mg,0 mg,Food Lion,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-lotsa-noodles-condensed-soup/UHqH5ghmRF2RtRu8cZalvw,560 mg,,,,,0.0,g,0.0,mg,20.0,mg,1.0,g,1.0,mg,3.0,g,0.5,g,480.0,mg,0.0,g,14.0,g,2.0,g,750.0,mg,0.0,mg,560.0,mg,0.0,g,,,,,,,,,,0,0,0,56.0,12.0,18.0,86.0,0.20930232558139536,0.6511627906976745,0.13953488372093023,0,0,1,1
Tasteeos Sweetened Toasted Oat Cereal,0 g,100 mg,110,0 mg,2 g,5 mg,2 g,0 g,140 mg,9 g,22 g,1.5 g,0 g,1000 mg,6 mg,Food Lion,"Breakfast Cereals, Ready To Eat",https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-ready-to-eat-tasteeos-sweetened-toasted-oat-cereal/leIrDaQHTwGH0kUVvFEbhA,125 mg,,,,,0.0,g,100.0,mg,0.0,mg,2.0,g,5.0,mg,2.0,g,0.0,g,140.0,mg,9.0,g,22.0,g,1.5,g,1000.0,mg,6.0,mg,125.0,mg,0.0,g,,,,,,,,,,0,0,0,88.0,8.0,13.5,109.5,0.1232876712328767,0.8036529680365296,0.0730593607305936,0,0,0,0
Condensed Vegetable With Beef Stock Soup,0 g,20 mg,100,0 mg,2 g,1 mg,4 g,0 g,630 mg,6 g,20 g,0.5 g,0 g,2000 mg,5 mg,Food Lion,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-condensed-vegetable-with-beef-stock-soup/rR1aRjwGSXquhUHf6bskTQ,640 mg,,,,,0.0,g,20.0,mg,0.0,mg,2.0,g,1.0,mg,4.0,g,0.0,g,630.0,mg,6.0,g,20.0,g,0.5,g,2000.0,mg,5.0,mg,640.0,mg,0.0,g,,,,,,,,,,0,0,0,80.0,16.0,4.5,100.5,0.04477611940298507,0.7960199004975125,0.15920398009950248,0,0,1,1
"Trail Mix, Breakfast Blend",0 g,20 mg,140,0 mg,1 g,1 mg,2 g,2.5 g,45 mg,12 g,17 g,8 g,0 g,0 mg,0 mg,Food Lion,Nut/Trail Mix,https://www.calorieking.com/us/en/foods/f/calories-in-nuttrail-mix-trail-mix-breakfast-blend/MMa9BhEeRq-ZdR9vKk_zdg,,,,,,0.0,g,20.0,mg,0.0,mg,1.0,g,1.0,mg,2.0,g,2.5,g,45.0,mg,12.0,g,17.0,g,8.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,68.0,8.0,72.0,148.0,0.4864864864864865,0.4594594594594595,0.05405405405405406,0,0,0,0
"Cookies, Fudge Marshmallow Whirls",0 g,20 mg,130,0 mg,1 g,1 mg,1 g,2.5 g,45 mg,14 g,20 g,5 g,0 g,0 mg,0 mg,Food Lion,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-cookies-fudge-marshmallow-whirls/TdhiUX6URfirs8M_y9YjaA,60 mg,,,,,0.0,g,20.0,mg,0.0,mg,1.0,g,1.0,mg,1.0,g,2.5,g,45.0,mg,14.0,g,20.0,g,5.0,g,0.0,mg,0.0,mg,60.0,mg,0.0,g,,,,,,,,,,0,0,0,80.0,4.0,45.0,129.0,0.3488372093023256,0.6201550387596899,0.031007751937984496,1,0,0,1
"Tomato Basil, Soup",0 g,100 mg,110,10 mg,2 g,0 mg,2 g,2.5 g,630 mg,11 g,16 g,3.5 g,0 g,400 mg,0 mg,Food Lion,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-tomato-basil-soup/meYK85tpSISDNbvJe4Berw,,,,,,0.0,g,100.0,mg,10.0,mg,2.0,g,0.0,mg,2.0,g,2.5,g,630.0,mg,11.0,g,16.0,g,3.5,g,400.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,64.0,8.0,31.5,103.5,0.30434782608695654,0.6183574879227053,0.07729468599033816,1,0,0,1
Pepperoni Stuffed Sandwiches,0 g,150 mg,340,25 mg,2 g,3 mg,11 g,8 g,570 mg,3 g,40 g,15 g,0 g,200 mg,5 mg,Food Lion,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-pepperoni-stuffed-sandwiches/meVtInx3Qhy1Tn51foVG5g,,,,,,0.0,g,150.0,mg,25.0,mg,2.0,g,3.0,mg,11.0,g,8.0,g,570.0,mg,3.0,g,40.0,g,15.0,g,200.0,mg,5.0,mg,,,0.0,g,,,,,,,,,,0,0,0,160.0,44.0,135.0,339.0,0.39823008849557523,0.471976401179941,0.12979351032448377,0,0,1,1
"Pudding Packs, Chocolate-Vanilla",0 g,300 mg,110,0 mg,2 g,1 mg,1 g,1 g,115 mg,13 g,20 g,2.5 g,0 g,0 mg,0 mg,Food Lion,Puddings,https://www.calorieking.com/us/en/foods/f/calories-in-puddings-pudding-packs-chocolate-vanilla/Pa9CHwnLQxGyAMPkNIKcNw,,,,,,0.0,g,300.0,mg,0.0,mg,2.0,g,1.0,mg,1.0,g,1.0,g,115.0,mg,13.0,g,20.0,g,2.5,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,80.0,4.0,22.5,106.5,0.2112676056338028,0.7511737089201878,0.03755868544600939,0,0,0,0
Pizza Bites,0 g,7 mg,37,2 mg,0.3 g,1 mg,1.2 g,0.5 g,87 mg,0.5 g,4.8 g,1.5 g,0 g,17 mg,1 mg,Food Lion,Frozen Pizzas,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-pizza-bites/8TILDChpQduwNlNCrJMIKg,,,,,,0.0,g,7.0,mg,2.0,mg,0.3,g,1.0,mg,1.2,g,0.5,g,87.0,mg,0.5,g,4.8,g,1.5,g,17.0,mg,1.0,mg,,,0.0,g,,,,,,,,,,0,0,0,19.2,4.8,13.5,37.5,0.36,0.512,0.128,0,1,1,2
Granola Cereal,0 g,40 mg,480,0 mg,6 g,3 mg,10 g,2 g,260 mg,32 g,82 g,12 g,0 g,0 mg,0 mg,Food Lion,"Breakfast Cereals, Ready To Eat",https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-ready-to-eat-granola-cereal/3j2HKQTfQQqWuJ50SmkjRw,400 mg,,,,,0.0,g,40.0,mg,0.0,mg,6.0,g,3.0,mg,10.0,g,2.0,g,260.0,mg,32.0,g,82.0,g,12.0,g,0.0,mg,0.0,mg,400.0,mg,0.0,g,,,,,,,,,,0,0,0,328.0,40.0,108.0,476.0,0.226890756302521,0.6890756302521008,0.08403361344537816,0,0,0,0
"Nonfat Frozen Yogurt, Peach",0 g,160 mg,200,0 mg,0 g,0 mg,4 g,0 g,150 mg,34 g,44 g,0 g,0 g,400 mg,5 mg,Food Lion,Frozen Yogurt,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-yogurt-nonfat-frozen-yogurt-peach/shkvpicGQqew5nSCaXeGPA,,,,,,0.0,g,160.0,mg,0.0,mg,0.0,g,0.0,mg,4.0,g,0.0,g,150.0,mg,34.0,g,44.0,g,0.0,g,400.0,mg,5.0,mg,,,0.0,g,,,,,,,,,,0,0,0,176.0,16.0,0.0,192.0,0.0,0.9166666666666666,0.08333333333333333,0,0,0,0
100% White Corn Tortilla Rounds Chips,0 g,0 mg,150,0 mg,2 g,1 mg,2 g,1 g,85 mg,0 g,18 g,8 g,0 g,0 mg,0 mg,Food Lion,Tortilla Chips,https://www.calorieking.com/us/en/foods/f/calories-in-tortilla-chips-100-white-corn-tortilla-rounds-chips/KznY_y-PTRixp-LFT8fM8g,40 mg,,,,,0.0,g,0.0,mg,0.0,mg,2.0,g,1.0,mg,2.0,g,1.0,g,85.0,mg,0.0,g,18.0,g,8.0,g,0.0,mg,0.0,mg,40.0,mg,0.0,g,,,,,,,,,,0,0,0,72.0,8.0,72.0,152.0,0.47368421052631576,0.47368421052631576,0.05263157894736842,0,0,0,0
Gummi Bears,0 g,,10,0 mg,,,0.2 g,0 g,1 mg,1.6 g,2.4 g,0 g,0 g,,,Food Lion,Candy,https://www.calorieking.com/us/en/foods/f/calories-in-candy-gummi-bears/kTpg4ym6QcWMT4FeM-z3VA,,,,,,0.0,g,,,0.0,mg,,,,,0.2,g,0.0,g,1.0,mg,1.6,g,2.4,g,0.0,g,,,,,,,0.0,g,,,,,,,,,,0,0,0,9.6,0.8,0.0,10.4,0.0,0.923076923076923,0.07692307692307693,0,0,0,0
Chocolate Chip Brownies,0 g,0 mg,210,5 mg,1 g,1 mg,2 g,4.5 g,125 mg,17 g,33 g,8 g,0 g,0 mg,0 mg,Food Lion,Cakes,https://www.calorieking.com/us/en/foods/f/calories-in-cakes-chocolate-chip-brownies/6JJ29RSTSVONaa37HdiA9A,,,,,,0.0,g,0.0,mg,5.0,mg,1.0,g,1.0,mg,2.0,g,4.5,g,125.0,mg,17.0,g,33.0,g,8.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,132.0,8.0,72.0,212.0,0.33962264150943394,0.6226415094339622,0.03773584905660377,1,0,0,1
Sugar Free Black Cherry Gelatin Bites,0 g,0 mg,30,0 mg,0 g,0 mg,6 g,0 g,80 mg,0 g,0 g,0 g,0 g,0 mg,0 mg,Food Lion,Desserts,https://www.calorieking.com/us/en/foods/f/calories-in-desserts-sugar-free-black-cherry-gelatin-bites/movK9z1QQIi2uE2yS3685g,,,,,,0.0,g,0.0,mg,0.0,mg,0.0,g,0.0,mg,6.0,g,0.0,g,80.0,mg,0.0,g,0.0,g,0.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,0.0,24.0,0.0,24.0,0.0,0.0,1.0,0,0,0,0
"Crispy Thin Crust Pizza, Cheese",0 g,250 mg,360,15 mg,2 g,3 mg,13 g,4.5 g,490 mg,4 g,49 g,13 g,0 g,300 mg,5 mg,Food Lion,Frozen Pizzas,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-crispy-thin-crust-pizza-cheese/bRSMrLv0SkGbvQE0HAqxow,,,,,,0.0,g,250.0,mg,15.0,mg,2.0,g,3.0,mg,13.0,g,4.5,g,490.0,mg,4.0,g,49.0,g,13.0,g,300.0,mg,5.0,mg,,,0.0,g,,,,,,,,,,0,0,0,196.0,52.0,117.0,365.0,0.32054794520547947,0.536986301369863,0.14246575342465753,1,1,1,3
Trail Mix Fruit & Nut,0 g,0 mg,480,0 mg,4 g,1 mg,8 g,8 g,120 mg,64 g,84 g,18 g,0 g,0 mg,10 mg,Food Lion,Nut/Trail Mix,https://www.calorieking.com/us/en/foods/f/calories-in-nuttrail-mix-trail-mix-fruit-nut/vVdpKHOuRrGXf1mGDimfpg,420 mg,,,,,0.0,g,0.0,mg,0.0,mg,4.0,g,1.0,mg,8.0,g,8.0,g,120.0,mg,64.0,g,84.0,g,18.0,g,0.0,mg,10.0,mg,420.0,mg,0.0,g,,,,,,,,,,0,0,0,336.0,32.0,162.0,530.0,0.30566037735849055,0.6339622641509434,0.06037735849056604,1,0,0,1
"Breakfast Biscuits, Blueberry",0 g,0 mg,230,0 mg,3 g,2 mg,4 g,0.5 g,230 mg,13 g,37 g,8 g,0 g,0 mg,0 mg,Food Lion,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-breakfast-biscuits-blueberry/d6F7PjwvRduj688iBqoHwQ,,,,,,0.0,g,0.0,mg,0.0,mg,3.0,g,2.0,mg,4.0,g,0.5,g,230.0,mg,13.0,g,37.0,g,8.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,148.0,16.0,72.0,236.0,0.3050847457627119,0.6271186440677966,0.06779661016949153,1,0,0,1
"Chunky Chicken Noodle, Ready To Serve Soup",0 g,20 mg,120,25 mg,1 g,1 mg,8 g,1 g,690 mg,2 g,15 g,2.5 g,0 g,2500 mg,0 mg,Food Lion,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chunky-chicken-noodle-ready-to-serve-soup/HDQFxK82RG-EMzqZ8sZCkA,330 mg,,,,,0.0,g,20.0,mg,25.0,mg,1.0,g,1.0,mg,8.0,g,1.0,g,690.0,mg,2.0,g,15.0,g,2.5,g,2500.0,mg,0.0,mg,330.0,mg,0.0,g,,,,,,,,,,0,0,0,60.0,32.0,22.5,114.5,0.1965065502183406,0.5240174672489083,0.2794759825327511,0,1,0,1
Penguin Crackers,0 g,1 mg,2,0 mg,0 g,1 mg,0 0.1 g,0 g,4 mg,0 0.1 g,0.3 g,0 0.1 g,0 g,0 mg,0 mg,Food Lion,Cookies,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-penguin-crackers/Uu0kah6GQIiS843JTv0_HA,1 mg,,,,,0.0,g,1.0,mg,0.0,mg,0.0,g,1.0,mg,0.0,0.1,0.0,g,4.0,mg,0.0,0.1,0.3,g,0.0,0.1,0.0,mg,0.0,mg,1.0,mg,0.0,g,,,,,,,,,,1,0,1,1.2,0.0,0.0,1.2,0.0,1.0,0.0,0,0,0,0
Sugar Frosted Sweetened Puffed Wheat Cereal,0 g,0 mg,110,0 mg,0 g,2 mg,2 g,0 g,65 mg,15 g,24 g,0 g,0 g,500 mg,6 mg,Food Lion,"Breakfast Cereals, Ready To Eat",https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-ready-to-eat-sugar-frosted-sweetened-puffed-wheat-cereal/3WJmgGJfT6Kis_rVO0UdtA,45 mg,,,,,0.0,g,0.0,mg,0.0,mg,0.0,g,2.0,mg,2.0,g,0.0,g,65.0,mg,15.0,g,24.0,g,0.0,g,500.0,mg,6.0,mg,45.0,mg,0.0,g,,,,,,,,,,0,0,0,96.0,8.0,0.0,104.0,0.0,0.9230769230769231,0.07692307692307693,0,0,0,0
"White Kettlecorn, Fudge Drizzled",0 g,0 mg,110,0 mg,0 g,0 mg,1 g,4 g,55 mg,14 g,15 g,5 g,0 g,0 mg,0 mg,Food Lion,Popcorn,https://www.calorieking.com/us/en/foods/f/calories-in-popcorn-white-kettlecorn-fudge-drizzled/U-vfiu-WRRmIxrbp_JMBZQ,,,,,,0.0,g,0.0,mg,0.0,mg,0.0,g,0.0,mg,1.0,g,4.0,g,55.0,mg,14.0,g,15.0,g,5.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,60.0,4.0,45.0,109.0,0.41284403669724773,0.5504587155963303,0.03669724770642202,0,1,0,1
"Toaster Pastries, Strawberry",0 g,0 mg,200,0 mg,1 g,2 mg,2 g,2 g,190 mg,15 g,37 g,5 g,0 g,500 mg,0 mg,Food Lion,Pastries,https://www.calorieking.com/us/en/foods/f/calories-in-pastries-toaster-pastries-strawberry/J_bDpO9TQGCdm2Hw4upnCQ,,,,,,0.0,g,0.0,mg,0.0,mg,1.0,g,2.0,mg,2.0,g,2.0,g,190.0,mg,15.0,g,37.0,g,5.0,g,500.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,148.0,8.0,45.0,201.0,0.22388059701492538,0.736318407960199,0.03980099502487562,0,0,0,0
Classic Condensed Cream Of Celery Soup,0 g,20 mg,100,0 mg,0 g,1 mg,1 g,1 g,900 mg,2 g,9 g,7 g,0 g,300 mg,0 mg,Food Lion,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-classic-condensed-cream-of-celery-soup/ZyYK7K3qR1OVvSL5F7UQCA,,,,,,0.0,g,20.0,mg,0.0,mg,0.0,g,1.0,mg,1.0,g,1.0,g,900.0,mg,2.0,g,9.0,g,7.0,g,300.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,36.0,4.0,63.0,103.0,0.6116504854368932,0.34951456310679613,0.038834951456310676,0,0,0,0
